title,category,content
Calculus,Science,"Calculus is a branch of mathematics that describes continuous change. There are two different types of calculus. Differential calculus divides (""differentiates"") things into small (""different"") pieces"
Coin,History,"A coin is a piece of metal that is used as currency, or money. The earliest coins were in Lydia, in what is Turkey today, in 7th Century BC. They were made from electrum, an alloy found in riverbeds. "
Crust,Art,Crust is a piece of bread where the edge where it is harder and darker. Crust can also mean:
Comedy,Art,"Comedy (from ), in modern times, is an entertainment with generally funny content. It is able to make people laugh. This definition was used for theatre plays, and was first used in Ancient Greece. Ar"
Comet,Science,"A comet is a ball of mostly ice that moves around in outer space. Comets are often described as ""dirty snowballs"". They are very different from asteroids. The orbital inclinations of comets are usuall"
Cytology,Science,"Cytology is the study of the cells, especially their appearance and structure. Cells are the small parts that make up all living things, and their effects on each other and their environment. There ar"
Christian,History,"A Christian () is a person who believes in Christianity, a monotheistic religion. Christianity is mostly about the life and teachings of Jesus Christ, in the New Testament and interpreted or prophesie"
Cheese,Art,"Cheese is a dairy product that is made from milk that is from cows. There are many types of cheese, such as cheddar, Swiss, and provolone. Many things affect the form, texture, colour and flavour of a"
Constitution,History,The constitution of a country (or a state) is a special type of law document that tells how its government is supposed to work. It tells how the country's leaders are to be chosen and how long they ge
Circle,General Information,"A circle, also known as a nought, is a round, two-dimensional shape. All points on the edge of the circle are at the same distance from the center. The radius of a circle is a line from the center of "
Capitalization,General Information,"Capitalization (North American spelling), or capitalisation (British spelling), is a process to make one letter or more uppercase. The first letter of a sentence is capitalised in many languages, as a"
Cuba,History,"Cuba is an island country in the Caribbean Sea. The country is made up of the big island of Cuba, the Isla de la Juventud island (""Isle of Youth""), and many smaller islands. Havana is the capital city"
Cube,Science,"A cube is a type of polyhedron with all right angles and whose height, width and depth are all the same. It is a type of rectangular prism, which is itself a type of hexahedron. A cube is one of the s"
December,General Information,"December (Dec.) is the twelfth and last month of the year in the Gregorian calendar, coming between November (of the current year) and January (of the following year). It has 31 days. With the name of"
Dublin,History,"Dublin () is the capital of the Republic of Ireland, and the biggest city on the island of Ireland. In 2011, there were over 1.1 million people living in the Greater Dublin Area. Dublin was built by t"
Dance,Art,"Dance is a performing art. It is described in many ways. It is when people move to a musical rhythm. They may be alone, or in a group. The dance may be an informal play, a part of a ritual, or a part "
Deadline,General Information,"A deadline is a time by which some task must be completed. Very often, it means a time limit that is set in place by an authority - for example, a teacher tells students that they must turn in their h"
April,History,"April (Apr.) is the fourth month of the year in the Julian and Gregorian calendars, and comes between March and May. It is one of four months to have 30 days. April always begins on the same day of th"
August,History,"August (Aug.) is the eighth month of the year in the Gregorian calendar, coming between July and September. It has 31 days. It is named after the Roman emperor Augustus Caesar. August does not begin o"
Art,Art,"Art is a creative activity. It produces a product, an object. Art is a diverse range of human activities in creating visual, performing subjects, and expressing the author's thoughts. The product of a"
A,Art,"A or a is the first letter of the English alphabet. The small letter, a or α, is used as a lower case vowel. When it is spoken, ā is said as a long a, a diphthong of ĕ and y. A is similar to Alphabet "
Air,General Information,Air is the Earth's atmosphere. Air is a mixture of many gases and tiny dust particles. It is the clear gas in which living things live and breathe. It has an indefinite shape and volume. It has mass a
Andouille,General Information,"Andouille is a type of pork sausage. It is spicy (hot in taste) and smoked. There are different kinds, all with different combinations of pork meat, fat, intestines (tubes going to the stomach), and t"
Farming,General Information,"Farming is growing crops and keeping animals for food and raw materials. Farming is a major part of agriculture. Farming started thousands of years ago, but no one knows for sure how old it is. The de"
Arithmetic,General Information,"In mathematics, arithmetic is the basic study of numbers. The four basic arithmetic operations are addition, subtraction, multiplication, and division, although other operations such as exponentiation"
Addition,General Information,"Not to be confused with building extension which are also called ""additions"" In mathematics, addition, represented by the symbol formula_1, is an operation which combines two mathematical objects toge"
Australia,General Information,"Australia (officially called the Commonwealth of Australia) is a country and sovereign state located in the southern hemisphere, in Oceania. Its capital city is Canberra, and its largest city is Sydne"
Aquaculture,General Information,"Aquaculture is the farming of fish, shrimp, abalones, algae, and other seafood. Aquaculture supplies fish, such as catfish, salmon, and trout. It was developed a few thousand years ago in China. Aquac"
Abbreviation,General Information,An abbreviation is a shorter way to write a word or phrase. People use abbreviations for words that they write a lot. The English language occasionally uses the apostrophe mark ' to show that a word i
Angel,Literature,"In many mythologies and religions, an angel is a good spirit. The word angel comes from the Greek word ""angelos"" which means ""messenger"". Angels appear frequently in the Old Testament, the New Testame"
Apple,General Information,"An apple is the edible fruit of a number of trees, known for its juicy, green, or red fruits. The tree (Malus spp.) is grown worldwide. Its fruit is low-cost, popular, and common all over the earth. A"
Algebra,General Information,"Algebra (from Arabic: الجبر‎, transliterated ""al-jabr"", meaning ""reunion of broken parts"") is a part of mathematics. It uses variables to represent a value that is not yet known or can be replaced wit"
Atom,Science,"An atom is an extremely small piece of matter. All normal matter – everything that has mass – is made of atoms. This includes solids, liquids, and gases. The atom cannot be broken to parts by chemistr"
Astronomy,Science,"Astronomy is the scientific study of celestial bodies. Stars, galaxies, planets, moons, asteroids, comets and nebulae are studied, as are supernovae explosions, gamma ray bursts, and cosmic microwave "
Architecture,Art,"Architecture is the process of designing structures and buildings. It uses both art and engineering. Examples include houses, churches, hotels, office buildings, roads, tunnels and bridges. Architectu"
Anatomy,General Information,"Anatomy is the study of the bodies of people and other animals. Anatomy is the study of the inside of the body and outside the body. Anatomy notes the position and structure of organs such as muscles,"
Asteroid,Science,An asteroid is a minor planet that orbits within the inner solar system. It is a small object in the Solar System that travels around the Sun. It is like a planet but smaller. They range from very sma
Afghanistan,History,"Afghanistan, officially the Islamic Emirate of Afghanistan is a country in Asia. It borders Pakistan in the south and east, Iran in the west, Turkmenistan, Uzbekistan and Tajikistan in the north, and "
Angola,History,"Angola, officially the Republic of Angola, is a country in southern Africa. It shares borders with Namibia in the south, the Democratic Republic of the Congo in the north, and Zambia in the east. Its "
Argentina,History,Argentina (officially the Argentine Republic) is a country in South America. Argentina is the second-largest country in South America and the eighth-largest country in the world. Spanish is the most s
Austria,History,"Austria (, ; ), officially the Republic of Austria ( ), is a country in Central Europe. Around Austria there are the countries of Germany, Czech Republic, Slovakia, Hungary, Slovenia, Italy, Switzerla"
Armenia,History,"Armenia (, ""Hayastan""), officially the Republic of Armenia, is a landlocked country located in the Armenian Highlands, spanning Eastern Europe and Western Asia. The Hittites and Hayasa-Azzi may have p"
Archaeology,General Information,"Archaeology, or archeology, is the study of the human past. It looks at remains and objects left by the people who lived long ago. These remains may include old coins, tools, buildings, and inscriptio"
Application,General Information,The word application has several uses.
Animal,General Information,"Animals (or Metazoa) are living creatures with many cells. Animals get their energy from other living things. Usually, they eat them or are parasites. Animals, plants, fungi, and some other living thi"
Acceleration,Science,"Acceleration is a measure of how fast velocity changes. Acceleration is the change of velocity divided by the change of time. Acceleration is a vector, and therefore includes both a size and a directi"
Boot,General Information,A boot is a type of footwear that protects the foot and ankle. Boots are higher and larger than shoes and sandals. Some boots are high enough to protect the calves (lower part of the leg) as well. Som
Bankruptcy,General Information,Bankruptcy is a legal process which happens when a person or an organization does not have enough money to pay all of its debts. Legally they are insolvent. Where it is a person who cannot pay their d
Browser,General Information,"A browser is a name given to any animal, usually a herbivorous mammal, which eats leaves and shrubs rather than grass. It is contrasted with grazers, which eat grass."
Beekeeping,General Information,"Beekeeping or apiculture is the farming of honeybees. The keeping of bees is usually, and has been in the past, for honey. That is becoming less true. Instead, it is more used for crop pollination and"
Being,General Information,"The word being means a living person or animal. ‘Human being’ means the same as ’person’. Men, women, and children are human beings. Some people write stories or make movies about beings from other pl"
Beijing,History,"Beijing is the capital of the People's Republic of China. The city used to be known as Peking. It is in the northern and eastern parts of the country. Having more that 21 million residents, it is one "
Bottle,General Information,"A bottle is a container used to carry liquids. Bottles can have many different sizes. Bottles are usually made of glass or plastic. Drinks such as milk, wine, lemonade, soft drinks, and water are ofte"
Berry,General Information,"The word berry is used for many different kinds of small fruits that have many seeds and can be used as food. Some examples are raspberry, strawberry, sutberry, lingonberry and blueberry. When botanis"
Boil,General Information,Boil might mean:
Beard,General Information,"A beard is the hair growing on the lower part of a man's face. The hair that grows on the upper lip of some men is a mustache. When a man has hair only below the lower lip and above the chin, it is ca"
Black,General Information,"In light, black is lack of all color. It is a shade. In painting, however, the black pigment is the combination of all colors. In heraldry, black is called ""sable"". It is the opposite of white. The wo"
Biology,General Information,"Biology is the science that studies life, living things, and the evolution of life. Living things include animals, plants, fungi (such as mushrooms), and microorganisms such as bacteria and archaea. T"
Botany,Science,"Botany is the study of plants. It is a science. It is a branch of biology. It is also called plant biology, and sometimes phytology. Scientists who study botany are called botanists. They study how pl"
Belgium,History,"Belgium (officially the Kingdom of Belgium; , , ) is a country in Western Europe. Its capital, Brussels, is the home of many organizations including the European Union and NATO. Belgium is bordered by"
Communities:,History,"It has a system of government known as a constitutional monarchy, meaning that it has a monarch, but that the monarch does not rule the country, and that a government is elected democratically. Belgiu"
Brazil,History,Brazil (officially called Federative Republic of Brazil; how to say: ) is a country in South America. It is the world's fifth largest country. The country has about 212 million people. The capital of 
Chemistry,Science,"Chemistry is a branch of science that deals with chemical elements and compounds, and how they work together and change. In other words, chemistry is the branch of science about fundamental properties"
Computer,General Information,"A computer is a machine that uses electronics to input, process, store, and output data. Data is information such as numbers, words, and lists. Input of data means to read information from a keyboard,"
Chinese,General Information,Chinese might mean:
Continent,General Information,"A continent is a large area of the land on Earth that is joined. There are no strict rules for what land is considered a continent, but in general it is agreed there are six or seven continents in the"
China,History,"China ( Pinyin: Zhōngguó) is a cultural region, an ancient civilization, and a nation in East Asia. The official name is People's Republic of China or PRC. The last Chinese Civil War (19271949) result"
Country,History,"A country is a distinct territory with defined borders, boundaries, people and government. Most countries are sovereign states while others make up one part of a larger state. The people that live in "
Colchester,History,"Colchester is a city in the northern part of the English county of Essex. It has a population of 104,000 people. People believe that Colchester is the oldest Roman town in England. Before Roman times,"
Cartography,General Information,"Cartography is making maps. It is part of geography. How people make maps is always changing. In the past, maps were drawn by hand, but today most printed maps are made using computers and people usua"
Creator,General Information,"A creator is a person who creates something. In some religions (Judaism, Christianity, Islam) God (or Allah meaning the God in Arabic) is the most important and original creator of the whole universe "
Chorizo,General Information,"Chorizo is a pork (pig-meat) sausage which people first made in the Iberian Peninsula. It is made with large pieces of fatty pork, chili pepper and paprika. The special taste of this sausage comes fro"
Creativity,General Information,"Creativity is the ability of a person or group to make something new and useful or valuable, or the process of making something new and useful or valuable. It happens in all areas of life - science, a"
Catharism,General Information,"The Cathar faith was a version of Christianity. They were usually considered Gnostics. The word 'Cathar' comes the Greek word ""katharos"" meaning 'unpolluted' (from Tobias Churton, ""The Gnostics"") or """
Cosmology,Science,"Cosmology is the branch of astronomy that deals with the origin, structure, evolution and space-time relationships of the universe. NASA defines cosmology as ""The study of the structure and changes in"
City,General Information,"A city is a place where many people live close together. A city has many buildings and streets. It has houses, hotels, condominiums, and apartments for many people to live in, shops where they may buy"
Cooking,General Information,"Cooking is a process to make food ready to eat by heating it. Cooking is often done in a kitchen using a stove or an oven. It can also be done over a fire (for example, over a campfire or on a barbecu"
Chat,General Information,"To chat is to talk about ordinary things that are not usually very important. However, important issues can also classify as “chat”, for instance when organising gatherings, meetings or events, such a"
Cup,General Information,A cup is any kind of container used for holding liquid and drinking. These include: Cup may also mean:
Crime,General Information,"A crime (or misdemeanor or felony) is an act done by a person which is against the laws of a country or region. A person who does this is called a criminal. The basic idea of what things are called ""c"
Maize,General Information,"Maize or Indian corn (called corn in some countries) is ""Zea mays"", a member of the grass family ""Poaceae"". It is a cereal grain which was first grown by people in ancient Central America. Approximate"
Civics,General Information,"Civics is the study of government. It most often refers to studying government in high school to prepare to be a good citizen. In college, civics is usually called political science. Since a city has "
Calculus,Science,"Calculus is a branch of mathematics that describes continuous change. There are two different types of calculus. Differential calculus divides (""differentiates"") things into small (""different"") pieces"
Coin,General Information,"A coin is a piece of metal that is used as currency, or money. The earliest coins were in Lydia, in what is Turkey today, in 7th Century BC. They were made from electrum, an alloy found in riverbeds. "
April,General Information,"April (Apr.) is the fourth month of the year in the Julian and Gregorian calendars, and comes between March and May. It is one of four months to have 30 days. April always begins on the same day of th"
August,General Information,"August (Aug.) is the eighth month of the year in the Gregorian calendar, coming between July and September. It has 31 days. It is named after the Roman emperor Augustus Caesar. August does not begin o"
Art,Art,"Art is a creative activity. It produces a product, an object. Art is a diverse range of human activities in creating visual, performing subjects, and expressing the author's thoughts. The product of a"
A,General Information,"A or a is the first letter of the English alphabet. The small letter, a or α, is used as a lower case vowel. When it is spoken, ā is said as a long a, a diphthong of ĕ and y. A is similar to Alphabet "
Air,Science,Air is the Earth's atmosphere. Air is a mixture of many gases and tiny dust particles. It is the clear gas in which living things live and breathe. It has an indefinite shape and volume. It has mass a
Andouille,History,"Andouille is a type of pork sausage. It is spicy (hot in taste) and smoked. There are different kinds, all with different combinations of pork meat, fat, intestines (tubes going to the stomach), and t"
Farming,General Information,"Farming is growing crops and keeping animals for food and raw materials. Farming is a major part of agriculture. Farming started thousands of years ago, but no one knows for sure how old it is. The de"
Arithmetic,Science,"In mathematics, arithmetic is the basic study of numbers. The four basic arithmetic operations are addition, subtraction, multiplication, and division, although other operations such as exponentiation"
Addition,General Information,"Not to be confused with building extension which are also called ""additions"" In mathematics, addition, represented by the symbol formula_1, is an operation which combines two mathematical objects toge"
Australia,History,"Australia (officially called the Commonwealth of Australia) is a country and sovereign state located in the southern hemisphere, in Oceania. Its capital city is Canberra, and its largest city is Sydne"
Aquaculture,History,"Aquaculture is the farming of fish, shrimp, abalones, algae, and other seafood. Aquaculture supplies fish, such as catfish, salmon, and trout. It was developed a few thousand years ago in China. Aquac"
Abbreviation,General Information,An abbreviation is a shorter way to write a word or phrase. People use abbreviations for words that they write a lot. The English language occasionally uses the apostrophe mark ' to show that a word i
Angel,Literature,"In many mythologies and religions, an angel is a good spirit. The word angel comes from the Greek word ""angelos"" which means ""messenger"". Angels appear frequently in the Old Testament, the New Testame"
Apple,Science,"An apple is the edible fruit of a number of trees, known for its juicy, green, or red fruits. The tree (Malus spp.) is grown worldwide. Its fruit is low-cost, popular, and common all over the earth. A"
Algebra,Science,"Algebra (from Arabic: الجبر‎, transliterated ""al-jabr"", meaning ""reunion of broken parts"") is a part of mathematics. It uses variables to represent a value that is not yet known or can be replaced wit"
Atom,Science,"An atom is an extremely small piece of matter. All normal matter – everything that has mass – is made of atoms. This includes solids, liquids, and gases. The atom cannot be broken to parts by chemistr"
Astronomy,Science,"Astronomy is the scientific study of celestial bodies. Stars, galaxies, planets, moons, asteroids, comets and nebulae are studied, as are supernovae explosions, gamma ray bursts, and cosmic microwave "
Architecture,Art,"Architecture is the process of designing structures and buildings. It uses both art and engineering. Examples include houses, churches, hotels, office buildings, roads, tunnels and bridges. Architectu"
Anatomy,History,"Anatomy is the study of the bodies of people and other animals. Anatomy is the study of the inside of the body and outside the body. Anatomy notes the position and structure of organs such as muscles,"
Asteroid,Science,An asteroid is a minor planet that orbits within the inner solar system. It is a small object in the Solar System that travels around the Sun. It is like a planet but smaller. They range from very sma
Afghanistan,History,"Afghanistan, officially the Islamic Emirate of Afghanistan is a country in Asia. It borders Pakistan in the south and east, Iran in the west, Turkmenistan, Uzbekistan and Tajikistan in the north, and "
Angola,History,"Angola, officially the Republic of Angola, is a country in southern Africa. It shares borders with Namibia in the south, the Democratic Republic of the Congo in the north, and Zambia in the east. Its "
Argentina,History,Argentina (officially the Argentine Republic) is a country in South America. Argentina is the second-largest country in South America and the eighth-largest country in the world. Spanish is the most s
Austria,History,"Austria (, ; ), officially the Republic of Austria ( ), is a country in Central Europe. Around Austria there are the countries of Germany, Czech Republic, Slovakia, Hungary, Slovenia, Italy, Switzerla"
Armenia,History,"Armenia (, ""Hayastan""), officially the Republic of Armenia, is a landlocked country located in the Armenian Highlands, spanning Eastern Europe and Western Asia. The Hittites and Hayasa-Azzi may have p"
Archaeology,General Information,"Archaeology, or archeology, is the study of the human past. It looks at remains and objects left by the people who lived long ago. These remains may include old coins, tools, buildings, and inscriptio"
Application,History,The word application has several uses.
Animal,General Information,"Animals (or Metazoa) are living creatures with many cells. Animals get their energy from other living things. Usually, they eat them or are parasites. Animals, plants, fungi, and some other living thi"
Acceleration,History,"Acceleration is a measure of how fast velocity changes. Acceleration is the change of velocity divided by the change of time. Acceleration is a vector, and therefore includes both a size and a directi"
Boot,History,A boot is a type of footwear that protects the foot and ankle. Boots are higher and larger than shoes and sandals. Some boots are high enough to protect the calves (lower part of the leg) as well. Som
Bankruptcy,History,Bankruptcy is a legal process which happens when a person or an organization does not have enough money to pay all of its debts. Legally they are insolvent. Where it is a person who cannot pay their d
Browser,Art,"A browser is a name given to any animal, usually a herbivorous mammal, which eats leaves and shrubs rather than grass. It is contrasted with grazers, which eat grass."
Beekeeping,History,"Beekeeping or apiculture is the farming of honeybees. The keeping of bees is usually, and has been in the past, for honey. That is becoming less true. Instead, it is more used for crop pollination and"
Being,History,"The word being means a living person or animal. ‘Human being’ means the same as ’person’. Men, women, and children are human beings. Some people write stories or make movies about beings from other pl"
Beijing,History,"Beijing is the capital of the People's Republic of China. The city used to be known as Peking. It is in the northern and eastern parts of the country. Having more that 21 million residents, it is one "
Bottle,Art,"A bottle is a container used to carry liquids. Bottles can have many different sizes. Bottles are usually made of glass or plastic. Drinks such as milk, wine, lemonade, soft drinks, and water are ofte"
Berry,Art,"The word berry is used for many different kinds of small fruits that have many seeds and can be used as food. Some examples are raspberry, strawberry, sutberry, lingonberry and blueberry. When botanis"
Boil,History,Boil might mean:
Beard,History,"A beard is the hair growing on the lower part of a man's face. The hair that grows on the upper lip of some men is a mustache. When a man has hair only below the lower lip and above the chin, it is ca"
Black,General Information,"In light, black is lack of all color. It is a shade. In painting, however, the black pigment is the combination of all colors. In heraldry, black is called ""sable"". It is the opposite of white. The wo"
Biology,Science,"Biology is the science that studies life, living things, and the evolution of life. Living things include animals, plants, fungi (such as mushrooms), and microorganisms such as bacteria and archaea. T"
Botany,Science,"Botany is the study of plants. It is a science. It is a branch of biology. It is also called plant biology, and sometimes phytology. Scientists who study botany are called botanists. They study how pl"
Belgium,History,"Belgium (officially the Kingdom of Belgium; , , ) is a country in Western Europe. Its capital, Brussels, is the home of many organizations including the European Union and NATO. Belgium is bordered by"
Communities:,History,"It has a system of government known as a constitutional monarchy, meaning that it has a monarch, but that the monarch does not rule the country, and that a government is elected democratically. Belgiu"
Brazil,History,Brazil (officially called Federative Republic of Brazil; how to say: ) is a country in South America. It is the world's fifth largest country. The country has about 212 million people. The capital of 
Chemistry,Science,"Chemistry is a branch of science that deals with chemical elements and compounds, and how they work together and change. In other words, chemistry is the branch of science about fundamental properties"
Computer,History,"A computer is a machine that uses electronics to input, process, store, and output data. Data is information such as numbers, words, and lists. Input of data means to read information from a keyboard,"
Chinese,History,Chinese might mean:
Continent,History,"A continent is a large area of the land on Earth that is joined. There are no strict rules for what land is considered a continent, but in general it is agreed there are six or seven continents in the"
China,History,"China ( Pinyin: Zhōngguó) is a cultural region, an ancient civilization, and a nation in East Asia. The official name is People's Republic of China or PRC. The last Chinese Civil War (19271949) result"
Country,History,"A country is a distinct territory with defined borders, boundaries, people and government. Most countries are sovereign states while others make up one part of a larger state. The people that live in "
Colchester,History,"Colchester is a city in the northern part of the English county of Essex. It has a population of 104,000 people. People believe that Colchester is the oldest Roman town in England. Before Roman times,"
Cartography,Science,"Cartography is making maps. It is part of geography. How people make maps is always changing. In the past, maps were drawn by hand, but today most printed maps are made using computers and people usua"
Creator,History,"A creator is a person who creates something. In some religions (Judaism, Christianity, Islam) God (or Allah meaning the God in Arabic) is the most important and original creator of the whole universe "
Chorizo,History,"Chorizo is a pork (pig-meat) sausage which people first made in the Iberian Peninsula. It is made with large pieces of fatty pork, chili pepper and paprika. The special taste of this sausage comes fro"
Creativity,General Information,"Creativity is the ability of a person or group to make something new and useful or valuable, or the process of making something new and useful or valuable. It happens in all areas of life - science, a"
Catharism,History,"The Cathar faith was a version of Christianity. They were usually considered Gnostics. The word 'Cathar' comes the Greek word ""katharos"" meaning 'unpolluted' (from Tobias Churton, ""The Gnostics"") or """
Cosmology,Science,"Cosmology is the branch of astronomy that deals with the origin, structure, evolution and space-time relationships of the universe. NASA defines cosmology as ""The study of the structure and changes in"
City,History,"A city is a place where many people live close together. A city has many buildings and streets. It has houses, hotels, condominiums, and apartments for many people to live in, shops where they may buy"
Cooking,General Information,"Cooking is a process to make food ready to eat by heating it. Cooking is often done in a kitchen using a stove or an oven. It can also be done over a fire (for example, over a campfire or on a barbecu"
Chat,General Information,"To chat is to talk about ordinary things that are not usually very important. However, important issues can also classify as “chat”, for instance when organising gatherings, meetings or events, such a"
Cup,History,A cup is any kind of container used for holding liquid and drinking. These include: Cup may also mean:
Crime,History,"A crime (or misdemeanor or felony) is an act done by a person which is against the laws of a country or region. A person who does this is called a criminal. The basic idea of what things are called ""c"
Maize,General Information,"Maize or Indian corn (called corn in some countries) is ""Zea mays"", a member of the grass family ""Poaceae"". It is a cereal grain which was first grown by people in ancient Central America. Approximate"
Civics,History,"Civics is the study of government. It most often refers to studying government in high school to prepare to be a good citizen. In college, civics is usually called political science. Since a city has "
Calculus,Science,"Calculus is a branch of mathematics that describes continuous change. There are two different types of calculus. Differential calculus divides (""differentiates"") things into small (""different"") pieces"
Coin,History,"A coin is a piece of metal that is used as currency, or money. The earliest coins were in Lydia, in what is Turkey today, in 7th Century BC. They were made from electrum, an alloy found in riverbeds. "
Crust,History,Crust is a piece of bread where the edge where it is harder and darker. Crust can also mean:
Comedy,General Information,"Comedy (from ), in modern times, is an entertainment with generally funny content. It is able to make people laugh. This definition was used for theatre plays, and was first used in Ancient Greece. Ar"
Comet,Science,"A comet is a ball of mostly ice that moves around in outer space. Comets are often described as ""dirty snowballs"". They are very different from asteroids. The orbital inclinations of comets are usuall"
Cytology,Science,"Cytology is the study of the cells, especially their appearance and structure. Cells are the small parts that make up all living things, and their effects on each other and their environment. There ar"
Christian,History,"A Christian () is a person who believes in Christianity, a monotheistic religion. Christianity is mostly about the life and teachings of Jesus Christ, in the New Testament and interpreted or prophesie"
Cheese,General Information,"Cheese is a dairy product that is made from milk that is from cows. There are many types of cheese, such as cheddar, Swiss, and provolone. Many things affect the form, texture, colour and flavour of a"
Constitution,History,The constitution of a country (or a state) is a special type of law document that tells how its government is supposed to work. It tells how the country's leaders are to be chosen and how long they ge
Circle,General Information,"A circle, also known as a nought, is a round, two-dimensional shape. All points on the edge of the circle are at the same distance from the center. The radius of a circle is a line from the center of "
Capitalization,General Information,"Capitalization (North American spelling), or capitalisation (British spelling), is a process to make one letter or more uppercase. The first letter of a sentence is capitalised in many languages, as a"
Cuba,History,"Cuba is an island country in the Caribbean Sea. The country is made up of the big island of Cuba, the Isla de la Juventud island (""Isle of Youth""), and many smaller islands. Havana is the capital city"
Cube,General Information,"A cube is a type of polyhedron with all right angles and whose height, width and depth are all the same. It is a type of rectangular prism, which is itself a type of hexahedron. A cube is one of the s"
December,General Information,"December (Dec.) is the twelfth and last month of the year in the Gregorian calendar, coming between November (of the current year) and January (of the following year). It has 31 days. With the name of"
Dublin,History,"Dublin () is the capital of the Republic of Ireland, and the biggest city on the island of Ireland. In 2011, there were over 1.1 million people living in the Greater Dublin Area. Dublin was built by t"
Dance,General Information,"Dance is a performing art. It is described in many ways. It is when people move to a musical rhythm. They may be alone, or in a group. The dance may be an informal play, a part of a ritual, or a part "
Deadline,General Information,"A deadline is a time by which some task must be completed. Very often, it means a time limit that is set in place by an authority - for example, a teacher tells students that they must turn in their h"